simTime,rsuIP,vehicleID,packetSize,senderPosX,senderPosY
17.000599061872,10.0.0.6,-1,138,2437.3,1923.87
17.000659701872,10.0.0.14,-1,138,1576.95,1063.18
17.022737416777,10.0.0.10,658,138,2091.96,859.761
17.045085291451,10.0.0.10,586,138,2393.69,863.167
17.065085336046,10.0.0.10,292,138,2125.2,857.292
17.197605040027,10.0.0.10,556,138,2055.73,858.747
19.000333227992,10.0.0.14,-1,138,1658.85,1443.78
19.025688525911,10.0.0.14,322,138,1673.99,1205.44
19.035742634926,10.0.0.14,286,138,1667.71,1197.25
19.07655363267,10.0.0.14,628,138,1567.73,1059.74
19.080601661607,10.0.0.14,430,138,1594.49,1034.08
19.08160208582,10.0.0.6,532,138,2366.74,2197.14
19.090473898657,10.0.0.14,334,138,1673.05,1245.02
19.105085221536,10.0.0.6,382,138,2444.22,1891.98
19.123049209617,10.0.0.6,724,138,2350.41,2140.92
19.127969227532,10.0.0.6,508,138,2431.58,1923.77
19.138258034995,10.0.0.6,754,138,2328.36,1783.6
19.148442348436,10.0.0.6,196,138,2360.31,1779.95
19.166782508937,10.0.0.14,250,138,1558.43,1116.99
19.182816546001,10.0.0.14,580,138,1548.16,1191.13
19.195431546314,10.0.0.14,400,138,1552.68,1191.28
21.075671508526,10.0.0.14,562,138,1862.09,1502.42
21.111375014207,10.0.0.14,244,138,1683.14,1513.27
21.190862643563,10.0.0.14,460,138,1887.03,1438.42
21.201157343047,10.0.0.6,664,138,2074.67,2053.65
