rsuIP,bias,w_density,w_avgDelay,w_throughput_bps,w_tx_pps,w_rx_pps,w_plr,w_dropCount
10.0.0.18,-0.41468700692016547,-0.19665395278715858,2991.5405517562745,-8.658680910811612e-05,-0.008744367528266975,-0.026243709500396256,0.9140224864437971,0.0
10.0.0.22,-0.3902343661694713,-0.26041493293061596,3119.921330511073,1.806714432820513e-05,-0.010619426135500704,-0.17791877651700877,0.49213259554855765,0.0
10.0.0.26,-0.4184264215620039,-0.2999160601872922,2814.1600227529048,0.00015652956185241223,-0.0032415794030940565,-0.23132265394783222,-7.59388745528653,0.0
10.0.0.30,-0.6715421905717673,-0.056540317960869176,2114.371259624449,8.84864792096248e-05,-0.09906009226817876,0.017772456050740782,1.4486175864323914,0.0
10.0.0.34,-0.7691996485339803,0.030978044198172253,696.1728402854403,-5.6349668035872116e-05,0.008335360673569454,0.2633568305260308,-0.6193602388847195,0.0
10.0.0.38,-0.5283104746158438,-0.00127593625488365,2022.6502716019127,-8.274270868789294e-05,-0.005910373347180776,0.08104708646596816,0.44368591391336076,0.0
10.0.0.42,-0.40100264445942047,-0.23670395585732035,3413.7041837586603,2.1690343026332434e-05,0.006708080561723666,-0.4446481142201151,0.10317085249030342,0.0
10.0.0.46,-0.6238648937542071,-0.0762328550034513,3514.445001815516,0.0005412404597878625,-0.09014594629434394,-1.7772909257577683,2.6299367302853933,0.0
10.0.0.50,-0.6183093843398033,-0.024697195534767756,1706.5806352616046,-3.329700025684187e-05,0.001905513911120031,0.0851828679447408,0.3435953483796891,0.0
10.0.0.54,-0.6151169794259159,0.0028292193203830755,1272.5471205260956,5.373529151373539e-05,0.007854153896815807,0.01217112983614552,-0.932736649022101,0.0
10.0.0.58,-0.6458499098084175,0.06633429508888306,1727.5013902782257,6.942603814612208e-05,0.004676574670065674,-0.1326449427848276,-0.5925863753253581,0.0
